enrollment_id,facility_id,enrollment_month,age_band,enrolled_count,subsidized_count,record_created
ENR000001,FAC0001,2025-01,Preschool,13,7,2025-01-01
ENR000002,FAC0001,2025-01,School-Age,34,26,2025-01-09
ENR000003,FAC0001,2025-02,Preschool,10,6,2025-02-25
ENR000004,FAC0001,2025-02,Infant,11,4,2025-02-18
ENR000005,FAC0001,2025-02,Kindergarten,13,10,2025-02-08
ENR000006,FAC0001,2025-02,School-Age,9,4,2025-02-23
ENR000007,FAC0001,2025-03,Kindergarten,30,17,2025-03-01
ENR000008,FAC0001,2025-03,Toddler,20,11,2025-03-12
ENR000009,FAC0001,2025-04,Kindergarten,13,7,2025-04-08
ENR000010,FAC0001,2025-04,School-Age,11,4,2025-04-04
ENR000011,FAC0001,2025-04,Preschool,6,4,2025-04-26
ENR000012,FAC0001,2025-04,Infant,6,3,2025-04-07
ENR000013,FAC0001,2025-05,Toddler,10,4,2025-05-15
ENR000014,FAC0001,2025-05,Kindergarten,11,10,2025-05-19
ENR000015,FAC0001,2025-05,School-Age,18,10,2025-05-14
ENR000016,FAC0001,2025-06,Toddler,23,15,2025-06-17
ENR000017,FAC0001,2025-06,Preschool,33,26,2025-06-08
ENR000018,FAC0001,2025-07,Infant,26,13,2025-07-01
ENR000019,FAC0001,2025-07,Kindergarten,9,7,2025-07-06
ENR000020,FAC0001,2025-08,Infant,23,13,2025-08-20
ENR000021,FAC0001,2025-08,School-Age,11,8,2025-08-09
ENR000022,FAC0001,2025-09,Infant,12,8,2025-09-03
ENR000023,FAC0001,2025-09,School-Age,7,3,2025-09-15
ENR000024,FAC0001,2025-09,Preschool,9,8,2025-09-25
ENR000025,FAC0001,2025-09,Toddler,13,5,2025-09-02
ENR000026,FAC0001,2025-10,Kindergarten,18,9,2025-10-01
ENR000027,FAC0001,2025-10,Preschool,29,26,2025-10-23
ENR000028,FAC0001,2025-11,Kindergarten,20,12,2025-11-11
ENR000029,FAC0001,2025-11,Preschool,19,16,2025-11-18
ENR000030,FAC0001,2025-11,Infant,11,6,2025-11-02
ENR000031,FAC0001,2025-12,Toddler,12,5,2025-12-22
ENR000032,FAC0001,2025-12,School-Age,7,3,2025-12-07
ENR000033,FAC0001,2025-12,Infant,9,7,2025-12-03
ENR000034,FAC0001,2025-12,Preschool,11,10,2025-12-01
ENR000035,FAC0002,2025-01,Infant,28,22,2025-01-06
ENR000036,FAC0002,2025-01,Preschool,33,18,2025-01-06
ENR000037,FAC0002,2025-01,School-Age,27,17,2025-01-18
ENR000038,FAC0002,2025-01,Kindergarten,22,15,2025-01-10
ENR000039,FAC0002,2025-02,Preschool,25,11,2025-02-27
ENR000040,FAC0002,2025-02,Kindergarten,47,38,2025-02-14
ENR000041,FAC0002,2025-02,Infant,-5,17,2025-02-13
ENR000042,FAC0002,2025-03,School-Age,73,0,2025-03-05
ENR000043,FAC0002,2025-03,Infant,36,23,2025-03-01
ENR000044,FAC0002,2025-04,Infant,66,37,2025-04-06
ENR000045,FAC0002,2025-04,Toddler,28,11,2025-04-16
ENR000046,FAC0002,2025-05,Kindergarten,4,2,2025-05-05
ENR000047,FAC0002,2025-05,Preschool,32,17,2025-05-12
ENR000048,FAC0002,2025-05,Infant,9,6,2025-05-16
ENR000049,FAC0002,2025-05,School-Age,25,14,2025-05-23
ENR000050,FAC0002,2025-06,Preschool,36,32,2025-06-28
ENR000051,FAC0002,2025-06,School-Age,43,17,2025-06-10
ENR000052,FAC0002,2025-06,Infant,34,24,2025-06-19
ENR000053,FAC0002,2025-07,Preschool,46,35,2025-07-04
ENR000054,FAC0002,2025-07,School-Age,48,19,2025-07-02
ENR000055,FAC0002,2025-07,Kindergarten,21,10,2025-07-25
ENR000056,FAC0002,2025-08,Toddler,32,18,2025-08-25
ENR000057,FAC0002,2025-08,Infant,31,21,2025-08-04
ENR000058,FAC0002,2025-09,Toddler,7,4,2025-09-06
ENR000059,FAC0002,2025-09,Infant,25,16,2025-09-20
ENR000060,FAC0002,2025-09,Preschool,15,10,2025-09-18
ENR000061,FAC0002,2025-09,School-Age,27,15,06/15/2025
ENR000062,FAC0002,2025-10,Preschool,23,19,2025-10-27
ENR000063,FAC0002,2025-10,School-Age,28,19,2025-10-13
ENR000064,FAC0002,2025-10,Toddler,10,8,2025-10-28
ENR000065,FAC0002,2025-10,Infant,28,16,2025-10-02
ENR000066,FAC0002,2025-11,School-Age,11,10,2025-11-01
ENR000067,FAC0002,2025-11,Toddler,24,19,2025-11-23
ENR000068,FAC0002,2025-11,Infant,15,11,2025-11-01
ENR000069,FAC0002,2025-12,Infant,11,8,2025-12-25
ENR000070,FAC0002,2025-12,School-Age,11,8,2025-12-22
ENR000071,FAC0002,2025-12,Preschool,22,20,2025-12-24
