facility_id,operator_id,facility_name,street_address,city,postal_code,room_count,opened_date
FAC0001,OP0001,Sunny Site 3,297 69 Street NW,Edmonton,T4H 4A5,6,2018-06-16
FAC0002,OP0002,Willow Site 4,3143 67 Street NW,South,T9C 8X7,3,2024-03-05
FAC0003,OP0003,Aspen Site 5,6083 74 Street NW,South,T8W 3K7,7,2022-08-28
FAC0004,OP0004,Chinook Site 6,825 173 Street NW,Edmonton,T4Y 2R5,4,2017-08-27
FAC0005,OP0005,Chinook Site 7,4550 46 Street NW,Central,T6V 4J4,7,2022-01-04
FAC0006,OP0006,Meadow Site 8,8924 126 Street NW,Calgary,T4A 8C6,6,2020-02-26
FAC0007,OP0006,Meadow Site 9,1820 143 Street NW,Calgary,T9G 0E4,7,2018-10-06
FAC0008,OP0007,Prairie Site 1,2504 118 Street NW,North,T8E 3A5,8,2020-12-19
FAC0009,OP0007,Prairie Site 2,2051 135 Street NW,North,T2Z 3S6,3,2019-05-27
FAC0010,OP0008,Sunny Site 3,513 134 Street NW,South,T5V 4V6,3,2023-03-07
FAC0011,OP0009,Cedar Site 4,3976 119 Street NW,Edmonton,T3Z 9W9,7,2023-11-07
FAC0012,OP0009,Cedar Site 5,5597 40 Street NW,Edmonton,T7X 7W8,4,2016-06-17
FAC0013,OP0010,Lakeside Site 6,2470 15 Street NW,Edmonton,T7A 6Z5,7,2022-10-24
FAC0014,OP0011,Silver Site 7,3753 164 Street NW,South,T4V 0C1,7,2020-04-06
FAC0015,OP0012,Bright Site 8,9178 121 Street NW,Edmonton,T5Y 7L8,7,2020-06-06
FAC0016,OP0013,Chinook Site 9,3473 19 Street NW,South,T9Z 2X3,8,2019-08-07
FAC0017,OP0013,Chinook Site 1,5637 116 Street NW,South,T1Z 0W0,4,2023-01-09
FAC0018,OP0014,Rocky Site 2,1105 41 Street NW,Central,T5L 3C4,4,2023-09-20
FAC0019,OP0014,Rocky Site 3,6175 36 Street NW,Central,T3A 9Y4,8,2016-12-02
FAC0020,OP0015,Foothills Site 4,7976 120 Street NW,Central,T6A 1R5,8,2017-10-25
FAC0021,OP0016,Foothills Site 5,9682 158 Street NW,Central,T2N 9R9,5,2017-11-01
FAC0022,OP0017,Maple Site 6,983 114 Street NW,North,T7S 7Y3,2,2019-02-19
FAC0023,OP0018,Lakeside Site 7,6876 162 Street NW,Edmonton,T9V 2R3,2,2019-11-05
FAC0024,OP0018,Lakeside Site 8,2701 151 Street NW,Edmonton,T1V 4L5,6,2023-05-27
FAC0025,OP0019,Willow Site 9,5590 148 Street NW,North,T7S 7V5,8,2020-12-12
FAC0026,OP0019,Willow Site 1,2780 151 Street NW,North,T1M 2M0,3,2018-11-07
FAC0027,OP0020,Chinook Site 2,2126 36 Street NW,Calgary,T2X 5S1,4,2019-02-02
FAC0028,OP0021,Cedar Site 3,2846 81 Street NW,South,T1W 6P1,4,2016-03-03
FAC0029,OP0022,Silver Site 4,5297 94 Street NW,Central,T2S 9T1,8,2024-03-28
FAC0030,OP0023,Silver Site 5,3420 172 Street NW,Calgary,T6T 7J4,6,2021-02-14
FAC0031,OP0024,Little Site 6,7292 47 Street NW,North,T5L 4A7,2,2018-05-11
FAC0032,OP0025,Riverbend Site 7,4808 133 Street NW,Edmonton,T6R 4R6,7,2023-07-13
FAC0033,OP0025,Riverbend Site 8,5437 129 Street NW,Edmonton,T5Z 3W3,4,2021-01-12
FAC0034,OP0026,Willow Site 9,6807 47 Street NW,Edmonton,T2Z 9C4,7,2017-06-10
FAC0035,OP0026,Willow Site 1,9423 170 Street NW,Edmonton,T3X 0S6,4,2019-11-06
FAC0036,OP0027,Little Site 2,6131 148 Street NW,Central,T8A 9H1,7,2024-03-06
FAC0037,OP0028,Riverbend Site 3,8431 89 Street NW,Calgary,T7G 1A6,6,2024-12-12
FAC0038,OP0028,Riverbend Site 4,9482 104 Street NW,Calgary,T2K 8C8,4,2017-07-18
FAC0039,OP0029,Harmony Site 5,1849 60 Street NW,Central,T5V 8G8,2,2019-08-22
FAC0040,OP0030,Meadow Site 6,9650 104 Street NW,North,T7V 8E4,4,2023-05-09
FAC0041,OP0031,Beaverhill Site 7,7385 60 Street NW,Central,T6N 7E9,4,2018-09-11
FAC0042,OP0032,Meadow Site 8,4854 171 Street NW,Calgary,T5Z 2Z4,5,2024-04-24
FAC0043,OP0032,Meadow Site 9,9342 31 Street NW,Calgary,T9K 6W1,6,2017-10-07
FAC0044,OP0033,Silver Site 1,3220 77 Street NW,North,T7K 1M4,8,2022-06-25
FAC0045,OP0033,Silver Site 2,855 44 Street NW,North,T9G 7Z9,6,2016-03-01
FAC0046,OP0034,Little Site 3,9629 135 Street NW,Edmonton,T6H 6A1,7,2021-04-09
FAC0047,OP0035,Pinecrest Site 4,8069 12 Street NW,South,T9S 4N5,3,2017-01-06
FAC0048,OP0036,Rocky Site 5,2299 86 Street NW,Central,T3L 2L5,3,2023-03-12
FAC0049,OP0037,Bright Site 6,3295 63 Street NW,Central,T5V 0W4,4,2023-02-06
FAC0050,OP0038,Beaverhill Site 7,1845 79 Street NW,North,T6V 1L1,6,2024-08-22
FAC0051,OP0039,Cedar Site 8,9414 120 Street NW,North,T2E 6R0,7,2024-08-09
FAC0052,OP0040,Golden Site 9,2337 64 Street NW,Calgary,T5T 4S4,5,2020-10-23
FAC0053,OP9999,Ghost Hollow Site 1,404 Missing Avenue NW,Edmonton,T5J 0N3,4,2023-05-01
