inspection_id,operator_id,inspection_date,inspector_id,result,finding_summary,follow_up_required
INS00001,OP0001,2025-02-28,INSP002,Pass,No findings,N
INS00002,OP0001,2025-12-20,INSP001,Pass,No findings,N
INS00003,OP0002,2025-11-23,INSP001,Pass,No findings,N
INS00004,OP0003,2025-04-21,INSP011,Pass,No findings,N
INS00005,OP0003,2025-03-18,INSP010,Pass,No findings,N
INS00006,OP0004,2025-04-19,INSP001,Conditional,Capacity exceeded,Y
INS00007,OP0005,2025-08-02,INSP003,Pass,No findings,N
INS00008,OP0005,2025-02-05,INSP007,Pass,No findings,N
INS00009,OP0006,2025-09-11,INSP006,Pass,No findings,N
INS00010,OP0006,2025-02-17,INSP011,Pass,No findings,N
INS00011,OP0006,2025-08-14,INSP009,Pass,No findings,N
INS00012,OP0007,2025-12-02,INSP011,Pass,No findings,N
INS00013,OP0007,2025-01-21,INSP009,Conditional,Staff ratio non-compliance,Y
INS00014,OP0008,2025-10-26,INSP003,Pass,No findings,N
INS00015,OP0008,2025-05-10,INSP004,Fail,Minor documentation gap,Y
INS00016,OP0008,2025-12-02,INSP007,Pass,No findings,N
INS00017,OP0009,2025-03-04,INSP011,Pass,No findings,N
INS00018,OP0010,2025-01-06,INSP011,Pass,No findings,N
INS00019,OP0010,2025-05-17,INSP003,Pass,No findings,N
INS00020,OP0010,2025-05-21,INSP007,Conditional,Health and safety concern,Y
INS00021,OP0011,2025-01-27,INSP010,Pass,No findings,N
INS00022,OP0012,2025-01-05,INSP007,Pass,No findings,N
INS00023,OP0013,2025-12-01,INSP007,Conditional,Health and safety concern,Y
INS00024,OP0013,2025-09-05,INSP005,Pass,No findings,N
INS00025,OP0014,2025-02-16,INSP002,Fail,Minor documentation gap,Y
INS00026,OP0014,2025-12-07,INSP004,Pass,No findings,N
INS00027,OP0015,2025-10-06,INSP010,Pass,No findings,N
INS00028,OP0015,2025-12-21,INSP008,Pass,No findings,N
INS00029,OP0016,2025-09-13,INSP009,Pass,No findings,N
INS00030,OP0017,2025-04-11,INSP006,Pass,No findings,N
INS00031,OP0018,2025-12-21,INSP004,Pass,No findings,N
INS00032,OP0018,2025-11-10,INSP011,Pass,No findings,N
INS00033,OP0019,2025-01-19,INSP008,Fail,Health and safety concern,Y
INS00034,OP0019,2025-10-24,INSP009,Pass,No findings,N
INS00035,OP0020,2025-05-12,INSP008,Pass,No findings,N
INS00036,OP0020,2025-12-04,INSP006,Pass,No findings,N
INS00037,OP0020,2025-01-17,INSP002,Pass,No findings,N
INS00038,OP0021,2025-05-24,INSP010,Pass,No findings,N
INS00039,OP0021,2025-03-04,INSP009,Pass,No findings,N
INS00040,OP0022,2025-01-19,INSP004,Pass,No findings,N
INS00041,OP0023,2025-01-02,INSP001,Pass,No findings,N
INS00042,OP0023,2025-07-22,INSP005,Fail,Capacity exceeded,Y
INS00043,OP0024,2025-04-17,INSP006,Conditional,Capacity exceeded,Y
INS00044,OP0024,2025-08-02,INSP006,Pass,No findings,N
INS00045,OP0025,2025-11-12,INSP001,Pass,No findings,N
INS00046,OP0026,2025-03-23,INSP003,Pass,No findings,N
INS00047,OP0026,2025-06-23,INSP011,Pass,No findings,N
INS00048,OP0026,2025-06-20,INSP005,Pass,No findings,N
INS00049,OP0027,2025-01-06,INSP012,Pass,No findings,N
INS00050,OP0028,2025-10-16,INSP010,Pass,No findings,N
INS00051,OP0028,2025-11-27,INSP005,Pass,No findings,N
INS00052,OP0028,2025-08-21,INSP003,Fail,Capacity exceeded,Y
INS00053,OP0029,2025-03-10,INSP001,Fail,Capacity exceeded,Y
INS00054,OP0029,2025-01-21,INSP003,Fail,Capacity exceeded,Y
INS00055,OP0030,2025-05-24,INSP007,Pass,No findings,N
INS00056,OP0030,2025-09-19,INSP010,Pass,No findings,N
INS00057,OP0031,2025-04-25,INSP012,Pass,No findings,N
INS00058,OP0031,2025-01-14,INSP002,Pass,No findings,N
INS00059,OP0031,2025-09-20,INSP012,Pass,No findings,N
INS00060,OP0032,2025-08-15,INSP011,Pass,No findings,N
INS00061,OP0032,2025-11-20,INSP010,Pass,No findings,N
INS00062,OP0033,2025-07-03,INSP006,Pass,No findings,N
INS00063,OP0033,2025-01-21,INSP005,Conditional,Record keeping incomplete,Y
INS00064,OP0033,2025-12-11,INSP011,Pass,No findings,N
INS00065,OP0034,2025-03-22,INSP007,Pass,No findings,N
INS00066,OP0034,2025-01-15,INSP005,Pass,No findings,N
INS00067,OP0034,2025-06-18,INSP011,Pass,No findings,N
INS00068,OP0035,2025-09-25,INSP002,Conditional,Staff ratio non-compliance,Y
INS00069,OP0036,2025-04-24,INSP011,Pass,No findings,N
INS00070,OP0036,2025-05-12,INSP012,Pass,No findings,N
INS00071,OP0037,2025-01-26,INSP009,Pass,No findings,N
INS00072,OP0037,2025-11-19,INSP004,Pass,No findings,N
INS00073,OP0037,2025-05-24,INSP001,Pass,No findings,N
INS00074,OP0038,2025-01-13,INSP004,Fail,Staff ratio non-compliance,Y
INS00075,OP0039,2025-05-18,INSP004,Pass,No findings,N
INS00076,OP0039,2025-06-26,INSP001,Fail,Capacity exceeded,Y
INS00077,OP0040,2025-05-28,INSP006,Pass,No findings,N
INS00078,OP0040,2025-05-21,INSP006,Pass,No findings,N
INS00079,OP0040,2025-12-07,INSP011,Pass,No findings,N
