claim_id,facility_id,claim_month,claimed_children,claim_amount,submitted_date,claim_status
CLM000001,FAC0001,2025-01,33,12700.00,2025-01-25,Approved
CLM000002,FAC0001,2025-02,24,14800.00,2025-02-23,Approved
CLM000003,FAC0001,2025-03,28,18400.00,2025-03-21,Approved
CLM000004,FAC0001,2025-04,18,10800.00,2025-04-24,Approved
CLM000005,FAC0001,2025-05,24,11600.00,2025-05-25,Approved
CLM000006,FAC0001,2025-06,41,31700.00,02/25/2025,Approved
CLM000007,FAC0001,2025-07,20,17800.00,2025-07-26,Approved
CLM000008,FAC0001,2025-08,21,16700.00,2025-08-25,Approved
CLM000009,FAC0001,2025-09,24,19800.00,2025-09-24,Approved
CLM000010,FAC0001,2025-10,35,22700.00,2025-10-28,Approved
CLM000011,FAC0001,2025-11,34,"$12,450.00",2025-11-27,Approved
CLM000012,FAC0001,2025-12,25,20100.00,2025-12-21,Approved
CLM000013,FAC0002,2025-01,72,49400.00,2025-01-26,Approved
CLM000014,FAC0002,2025-02,66,45400.00,2025-02-22,Approved
CLM000015,FAC0002,2025-03,23,25300.00,2025-03-26,Approved
CLM000016,FAC0002,2025-04,48,50600.00,2025-04-27,Approved
CLM000017,FAC0002,2025-05,39,23700.00,2025-05-25,Approved
CLM000018,FAC0002,2025-06,73,53900.00,2025-06-23,Approved
CLM000019,FAC0002,2025-07,64,35200.00,2025-07-26,Approved
CLM000020,FAC0002,2025-08,39,39300.00,2025-08-23,Approved
CLM000021,FAC0002,2025-09,45,32700.00,2025-09-22,Approved
CLM000022,FAC0002,2025-10,62,43800.00,2025-10-22,Approved
CLM000023,FAC0002,2025-11,40,32200.00,2025-11-21,Rejected
CLM000024,FAC0002,2025-12,36,25200.00,2025-12-23,Approved
CLM000025,FAC0003,2025-01,45,47900.00,2025-01-25,Approved
CLM000026,FAC0003,2025-02,76,57400.00,2025-02-22,Approved
CLM000027,FAC0003,2025-03,32,27000.00,2025-03-26,Approved
CLM000028,FAC0003,2025-04,37,31700.00,2025-04-25,Approved
CLM000029,FAC0003,2025-05,46,31400.00,2025-05-21,Approved
CLM000030,FAC0003,2025-06,50,32000.00,2025-06-27,Approved
CLM000031,FAC0003,2025-07,83,41900.00,2025-07-26,Approved
CLM000032,FAC0003,2025-08,43,34500.00,2025-08-24,Approved
CLM000033,FAC0003,2025-09,40,26800.00,2025-09-28,Approved
CLM000034,FAC0003,2025-10,43,25500.00,2025-10-27,Pending
CLM000035,FAC0003,2025-11,72,56200.00,2025-11-26,Approved
CLM000036,FAC0003,2025-12,29,23500.00,2025-12-26,Approved
CLM000037,FAC0004,2025-01,43,23700.00,2025-01-26,Approved
CLM000038,FAC0004,2025-02,64,40800.00,2025-02-27,Approved
CLM000039,FAC0004,2025-03,121,94500.00,2025-03-27,Approved
CLM000040,FAC0004,2025-04,75,53300.00,2025-04-25,Approved
CLM000041,FAC0004,2025-05,102,75000.00,2025-05-25,Approved
CLM000042,FAC0004,2025-06,48,31200.00,2025-06-27,Approved
CLM000043,FAC0004,2025-07,62,42200.00,2025-07-28,Approved
CLM000044,FAC0004,2025-08,69,42900.00,2025-08-25,Approved
CLM000045,FAC0004,2025-09,67,46500.00,2025-09-22,Pending
CLM000046,FAC0004,2025-10,69,47900.00,2025-10-23,Approved
CLM000047,FAC0004,2025-11,99,82300.00,2025-11-22,Approved
CLM000048,FAC0004,2025-12,49,23100.00,2025-12-22,Approved
CLM000049,FAC0005,2025-01,46,25000.00,2025-01-24,Approved
CLM000050,FAC0005,2025-02,102,88200.00,2025-02-21,Approved
CLM000051,FAC0005,2025-03,49,36500.00,2025-03-21,Approved
CLM000052,FAC0005,2025-04,71,41500.00,2025-04-27,Approved
CLM000053,FAC0005,2025-05,38,27800.00,2025-05-25,Pending
CLM000054,FAC0005,2025-06,71,50900.00,2025-06-27,Approved
CLM000055,FAC0005,2025-07,51,30500.00,2025-07-21,Approved
CLM000056,FAC0005,2025-08,54,"$8,900.50",2025-08-25,Approved
CLM000057,FAC0005,2025-09,46,34400.00,2025-09-26,Approved
CLM000058,FAC0005,2025-10,92,55400.00,2025-10-21,Approved
CLM000059,FAC0005,2025-11,54,39600.00,2025-11-26,Approved
CLM000060,FAC0005,2025-12,50,34600.00,2025-12-21,Approved
CLM000061,FAC0006,2025-01,11,8100.00,2025-01-25,Approved
CLM000062,FAC0006,2025-02,12,8200.00,2025-02-22,Approved
CLM000063,FAC0006,2025-03,29,18500.00,2025-03-20,Approved
CLM000064,FAC0006,2025-04,31,20300.00,2025-04-21,Approved
CLM000065,FAC0006,2025-05,22,14600.00,2025-05-26,Approved
CLM000066,FAC0006,2025-06,33,22900.00,2025-06-25,Approved
CLM000067,FAC0006,2025-07,23,9100.00,2025-07-25,Approved
CLM000068,FAC0006,2025-08,13,8300.00,2025-08-27,Approved
CLM000069,FAC0006,2025-09,24,17200.00,2025-09-27,Approved
CLM000070,FAC0006,2025-10,21,20100.00,2025-10-26,Approved
CLM000071,FAC0006,2025-11,18,14800.00,2025-11-28,Approved
CLM000072,FAC0006,2025-12,20,18200.00,2025-12-28,Approved
CLM000073,FAC0007,2025-01,25,18500.00,2025-01-28,Approved
CLM000074,FAC0007,2025-02,25,26900.00,2025-02-24,Approved
CLM000075,FAC0007,2025-03,23,15500.00,2025-03-23,Approved
CLM000076,FAC0007,2025-04,15,10100.00,2025-04-20,Approved
CLM000077,FAC0007,2025-05,18,10600.00,2025-05-22,Approved
CLM000078,FAC0007,2025-06,23,"9,150.00",2025-06-25,Pending
CLM000079,FAC0007,2025-07,19,12500.00,2025-07-21,Approved
CLM000080,FAC0007,2025-08,27,11900.00,2025-08-20,Approved
CLM000081,FAC0007,2025-09,26,23600.00,2025-09-21,Approved
