claim_id,facility_id,claim_month,claimed_children,claim_amount,submitted_date,claim_status
CLM900001,FAC0001,2026-01,22,15400.00,2026-01-25,Approved
CLM900002,FAC0002,2026-01,18,12600.00,2026-01-26,Approved
CLM900003,FAC0003,2026-01,NOT_A_NUMBER,9800.00,2026-01-24,Approved
CLM900004,FAC0004,2026-01,25,17500.00
CLM900005,FAC0005,2026-01,30,21000.00,2026-01-27,Approved,EXTRA_COLUMN
CLM900006,FAC0006,2026-01,19,13300.00,not-a-date,Approved
CLM900007,FAC0007,2026-01,21,14700.00,2026-01-28,Approved
CLM900008,FAC0008,2026-01,,10500.00,2026-01-28,Pending
CLM900009,FAC0009,2026-01,27,"18,900.00",2026-01-29,Approved
CLM900010,FAC0010,2026-01,24,16800.00,2026-01-29,Approved
